"ID","Dia_sem","Mes","Dia_ocor","Hora","Distrito","Preco","Coord"
"1043830","5","4","30","16","BRONX","77496.875","(40.8337763590001, -73.918429299)"
"818594","7","4","25","2","BRONX","77496.875","(40.8347639670001, -73.8299234529999)"
"900873","1","12","27","19","BRONX","94984.375","(40.841511746, -73.8840819979999)"
"1024167","6","12","18","17","MANHATTAN","1682289.6590909092","(40.7559880050001, -73.969190893)"
"1057476","6","6","12","9","BROOKLYN","773386.612244898","(40.6467167870001, -73.923537226)"
"981025","5","4","9","15","BRONX","77496.875","(40.828234722, -73.856491471)"
"1103691","7","12","12","0","BRONX","94984.375","(40.858717137, -73.9036926429999)"
"1104687","6","8","21","20","QUEENS","303412.5128205128","(40.7565882740001, -73.929753031)"
"1105276","3","8","25","12","BROOKLYN","776779.5918367347","(40.664040518, -73.885540243)"
"1107817","6","10","2","20","BROOKLYN","807918.918367347","(40.7044274900001, -73.94607418)"
"817411","2","2","9","8","MANHATTAN","1449851.1363636365","(40.738650776, -73.99776415)"
"1006077","1","10","11","3","MANHATTAN","1600241.9318181819","(40.757578112, -73.9895445239999)"
"1104806","5","12","24","22","QUEENS","332701.46153846156","(40.690648976, -73.806084278)"
"1085566","4","7","22","11","QUEENS","325513.28205128206","(40.708717817, -73.907610061)"
"1019330","7","8","8","0","BROOKLYN","776779.5918367347","(40.6628509390001, -73.9554541159999)"
"884495","7","10","10","14","BROOKLYN","807918.918367347","(40.6775299060001, -73.972717006)"
"1010194","3","6","16","5","MANHATTAN","1557062.2727272727","(40.7395729360001, -73.995234495)"
"1098813","4","10","28","0","BROOKLYN","807918.918367347","(40.6616786700001, -73.937263585)"
"1093326","7","2","28","11","QUEENS","232387.38461538462","(40.7272867180001, -73.895458059)"
"1037744","7","4","4","1","BRONX","77496.875","(40.826747938, -73.908512114)"
"1093423","7","2","28","12","BROOKLYN","733877.5408163265","(40.656378143, -73.901508727)"
"1061980","6","3","6","16","BROOKLYN","735019.1836734693","(40.6723353580001, -73.8750968589999)"
"830120","3","5","5","15","MANHATTAN","1471835.2159090908","(40.7354348630001, -73.9794770349999)"
"990906","1","5","3","8","QUEENS","315149.8461538461","(40.739742892, -73.721008981)"
"1083468","2","12","21","23","QUEENS","332701.46153846156","(40.698158838, -73.795084668)"
"1067609","2","8","17","23","BROOKLYN","776779.5918367347","(40.601445003, -73.964760788)"
"1083714","6","12","25","3","BRONX","94984.375","(40.8258243330001, -73.849616989)"
"1059524","4","2","25","14","MANHATTAN","1449851.1363636365","(40.8530572780001, -73.93966763)"
"1066431","7","4","18","12","QUEENS","284660.3846153846","(40.738523528, -73.868459367)"
"1116269","5","10","15","2","MANHATTAN","1600241.9318181819","(40.7550256530001, -73.9914073909999)"
"1091586","5","9","3","5","QUEENS","366240.46153846156","(40.7228780720001, -73.7815555459999)"
"986563","6","5","1","23","BRONX","80687.5","(40.900695603, -73.857112749)"
"1072473","7","9","12","12","BRONX","80778.125","(40.81616354, -73.802701908)"
"946597","5","7","23","16","BROOKLYN","789217.3469387755","(40.627484435, -73.9200611969999)"
"1041620","6","9","25","23","QUEENS","366240.46153846156","(40.7223902420001, -73.901894602)"
"902544","3","3","17","14","BRONX","75996.8125","(40.8154353200001, -73.917255972)"
"1037527","6","4","3","23","STATEN ISLAND","322000","(40.628671545, -74.13674532)"
"846652","1","7","19","4","BROOKLYN","789217.3469387755","(40.716372264, -73.966640779)"
"1093416","7","2","28","11","MANHATTAN","1449851.1363636365","(40.755648675, -73.990952519)"
